Time,Address,X,Y,Z,Quality
1039.4,12,0.831,0.027,1.538,82
1039.599,12,0.974,0.022,1.582,83
1042.796,12,2.537,0.012,1.594,81
1043.004,12,2.668,-0.001,1.613,83
1043.204,12,2.766,0.006,1.619,82
1043.399,12,2.851,0.007,1.643,89
1043.604,12,2.941,0.01,1.531,80
1043.801,12,3.049,0.016,1.612,80
1044.003,12,3.133,0.002,1.592,79
1044.2,12,3.264,0.012,1.573,96
1044.399,12,3.395,-0.02,1.625,88
1044.599,12,3.444,0.019,1.644,85
1044.798,12,3.571,0.005,1.604,87
1044.998,12,3.644,-0.007,1.624,97
1045.205,12,3.728,0.027,1.634,86
1045.397,12,3.805,0.035,1.559,94
1045.599,12,3.817,0.087,1.562,81
1045.8,12,3.889,0.152,1.569,79
1046.0,12,3.871,0.222,1.576,83
1046.197,12,3.931,0.344,1.576,86
1046.399,12,3.977,0.366,1.609,88
1046.6,12,3.952,0.512,1.612,85
1046.799,12,3.98,0.565,1.58,91
1046.996,12,3.994,0.661,1.588,91
1047.196,12,4.001,0.772,1.535,95
1047.404,12,3.972,0.86,1.59,83
1047.597,12,3.986,0.944,1.596,79
1047.798,12,4.006,1.081,1.516,87
1048.005,12,3.969,1.168,1.559,83
1048.199,12,3.947,1.259,1.525,86
1048.398,12,4.016,1.369,1.56,81
1048.597,12,3.974,1.471,1.48,88
1048.8,12,3.978,1.517,1.455,90
1049.001,12,3.979,1.655,1.521,89
1049.201,12,4.021,1.712,1.508,89
1049.4,12,3.98,1.857,1.505,88
1049.596,12,4.009,1.952,1.541,85
1049.8,12,3.95,2.051,1.492,76
1049.997,12,3.999,2.133,1.538,81
1050.202,12,3.986,2.269,1.519,86
1050.404,12,3.995,2.353,1.482,89
1050.604,12,3.972,2.422,1.529,76
1050.796,12,3.982,2.555,1.483,94
1050.999,12,4.005,2.659,1.503,86
1051.198,12,4.028,2.724,1.443,91
1051.395,12,4.024,2.831,1.47,81
1051.605,12,4.049,2.968,1.399,92
1051.797,12,4.016,3.056,1.414,81
1051.996,12,4.021,3.171,1.443,95
1052.202,12,4.007,3.263,1.441,82
1052.397,12,3.993,3.365,1.486,92
1052.597,12,3.996,3.424,1.434,84
1052.796,12,4.008,3.534,1.5,88
1053.001,12,3.997,3.622,1.356,90
1053.202,12,3.983,3.745,1.443,89
1053.402,12,3.939,3.779,1.426,86
1053.598,12,3.872,3.863,1.43,82
1053.801,12,3.835,3.887,1.51,89
1054.004,12,3.753,3.907,1.472,88
1054.197,12,3.702,3.955,1.431,81
1054.397,12,3.566,3.933,1.352,84
1054.603,12,3.476,4.001,1.454,79
1054.798,12,3.408,3.955,1.396,86
1055.004,12,3.307,3.982,1.447,83
1055.203,12,3.228,4.006,1.344,80
1055.396,12,3.155,4.023,1.437,79
1055.595,12,3.024,3.98,1.376,90
1055.803,12,2.922,3.955,1.42,81
1055.999,12,2.835,4.001,1.43,87
1056.196,12,2.749,3.977,1.381,74
1056.404,12,2.649,3.975,1.421,88
1056.595,12,2.559,3.996,1.41,82
1056.802,12,2.443,4.01,1.392,92
1057.0,12,2.346,4.044,1.376,81
1057.2,12,2.244,4.01,1.389,91
1057.403,12,2.155,4.002,1.415,84
1057.602,12,2.062,4.038,1.427,81
1057.801,12,1.965,4.02,1.409,89
1058.004,12,1.886,3.987,1.397,89
1058.204,12,1.763,4.0,1.384,82
1058.401,12,1.64,3.998,1.367,87
1058.604,12,1.536,3.993,1.379,80
1058.8,12,1.467,3.988,1.421,82
1058.996,12,1.319,4.002,1.451,85
1059.195,12,1.237,4.034,1.455,92
1059.395,12,1.158,3.997,1.426,75
1059.605,12,1.007,4.004,1.436,77
1059.796,12,0.957,3.995,1.419,76
1059.996,12,0.842,3.991,1.423,75
1060.205,12,0.747,3.994,1.364,89
1060.399,12,0.676,3.978,1.388,82
1060.605,12,0.553,3.998,1.372,80
1060.801,12,0.439,3.995,1.451,87
1060.998,12,0.334,3.981,1.424,88
1061.2,12,0.257,3.963,1.435,88
1061.399,12,0.202,3.944,1.455,93
1061.604,12,0.158,3.884,1.379,81
1061.799,12,0.095,3.82,1.413,84
1062.001,12,0.066,3.75,1.42,82
1062.196,12,0.038,3.667,1.387,90
1062.395,12,0.021,3.618,1.454,84
1062.6,12,-0.0,3.485,1.436,82
1062.798,12,0.022,3.417,1.442,86
1062.999,12,0.032,3.294,1.444,86
1063.199,12,0.024,3.205,1.456,89
1063.402,12,0.037,3.125,1.463,90
1063.597,12,0.009,3.093,1.488,84
1063.805,12,0.002,2.904,1.476,83
1063.996,12,0.001,2.879,1.52,82
1064.197,12,0.034,2.753,1.432,83
1064.396,12,0.025,2.646,1.515,96
1064.599,12,-0.003,2.515,1.424,86
1064.796,12,-0.02,2.467,1.437,82
1064.996,12,0.001,2.334,1.526,91
1065.199,12,0.002,2.229,1.494,84
1065.395,12,0.027,2.156,1.502,72
1065.604,12,-0.03,2.069,1.503,83
1065.796,12,0.02,1.944,1.485,84
1065.998,12,0.029,1.827,1.482,91
1066.204,12,0.004,1.704,1.507,92
1066.399,12,0.027,1.627,1.468,89
1066.6,12,-0.008,1.574,1.502,92
1066.803,12,-0.033,1.468,1.517,82
1067.0,12,0.004,1.405,1.518,81
1067.198,12,-0.036,1.267,1.572,84
1067.402,12,0.002,1.162,1.547,85
1067.597,12,0.012,1.087,1.489,86
1067.804,12,-0.004,0.96,1.576,84
1067.999,12,-0.033,0.852,1.537,86
1068.2,12,-0.019,0.778,1.571,87
1068.402,12,0.025,0.671,1.562,82
1068.597,12,-0.021,0.518,1.563,89
1068.803,12,0.0,0.43,1.561,84
1068.997,12,-0.01,0.358,1.631,83
1069.198,12,0.021,0.28,1.583,85
1069.399,12,0.091,0.198,1.538,92
1069.596,12,0.099,0.136,1.597,90
1069.799,12,0.672,0.09,1.592,88
1069.996,12,0.71,0.075,1.594,85
1070.195,12,0.788,0.086,1.548,76
1070.4,12,0.862,0.064,1.603,87
1070.604,12,0.983,0.048,1.549,80
1070.8,12,1.095,0.07,1.554,84
1071.003,12,1.153,0.014,1.63,84
1071.199,12,1.252,0.017,1.574,84
1071.4,12,1.35,0.0,1.611,84
1071.596,12,1.452,0.051,1.575,82
1071.801,12,1.59,0.028,1.566,90
1071.995,12,1.678,0.022,1.587,86
1072.203,12,1.75,0.022,1.599,86
1072.402,12,1.867,0.015,1.637,87
1072.602,12,1.944,-0.015,1.639,87
1072.795,12,2.039,0.029,1.595,85
1072.999,12,2.138,0.017,1.619,82
1073.198,12,2.281,-0.019,1.663,88
1073.403,12,2.346,-0.003,1.6,88
1073.602,12,1.96,-0.007,1.59,84
1073.797,12,2.043,0.029,1.554,91
1074.001,12,2.131,-0.004,1.593,80
1074.197,12,2.225,-0.015,1.58,88
1074.398,12,2.365,0.009,1.625,72
1074.597,12,2.438,-0.023,1.617,87
1074.795,12,2.538,-0.025,1.572,88
1075.002,12,2.65,-0.039,1.579,80
1075.201,12,2.772,-0.01,1.611,81
1075.401,12,2.878,0.007,1.589,82
1075.602,12,2.95,0.044,1.596,79
1075.8,12,3.062,0.019,1.573,89
1076.003,12,3.168,-0.039,1.595,94
1076.203,12,3.262,0.003,1.56,82
1076.398,12,3.347,0.027,1.596,88
1076.596,12,3.459,-0.003,1.54,81
1076.801,12,3.535,-0.007,1.584,71
1076.995,12,3.673,-0.045,1.541,82
1077.198,12,3.735,0.055,1.524,86
1077.403,12,3.786,0.081,1.581,81
1077.595,12,3.801,0.066,1.537,84
1077.797,12,3.848,0.168,1.59,89
1078.0,12,3.906,0.246,1.514,80
1078.203,12,3.913,0.333,1.565,88
1078.401,12,3.966,0.415,1.584,84
1078.602,12,3.927,0.515,1.466,85
1078.799,12,3.98,0.625,1.526,91
1079.0,12,3.985,0.671,1.502,86
1079.199,12,3.978,0.776,1.534,80
1079.404,12,3.997,0.86,1.477,86
1079.598,12,4.017,0.96,1.485,85
1079.796,12,3.975,1.042,1.509,85
1080.002,12,3.995,1.142,1.457,81
1080.202,12,3.983,1.287,1.514,88
1080.396,12,4.019,1.331,1.509,94
1080.602,12,3.993,1.5,1.551,74
1080.804,12,3.964,1.543,1.534,90
1080.996,12,3.976,1.606,1.489,93
1081.2,12,4.012,1.752,1.481,90
1081.396,12,4.025,1.857,1.464,88
1081.598,12,3.991,1.942,1.507,81
1081.799,12,4.006,2.018,1.493,83
1082.005,12,3.974,2.142,1.515,90
1082.2,12,3.966,2.236,1.455,79
1082.396,12,3.975,2.374,1.449,86
1082.602,12,4.0,2.446,1.487,90
1082.801,12,4.008,2.573,1.426,85
1082.996,12,3.993,2.668,1.471,85
1083.203,12,4.013,2.754,1.427,84
1083.4,12,4.004,2.846,1.459,82
1083.599,12,3.985,2.931,1.436,95
1083.8,12,4.019,3.075,1.416,91
1083.999,12,4.011,3.158,1.382,90
1084.203,12,3.988,3.267,1.461,84
1084.4,12,3.98,3.347,1.4,85
1084.602,12,3.973,3.439,1.447,90
1084.802,12,3.982,3.545,1.378,89
1085.005,12,3.994,3.607,1.422,80
1085.195,12,4.023,3.73,1.404,85
1085.396,12,3.967,3.781,1.456,84
1085.601,12,3.894,3.837,1.453,78
1085.796,12,3.814,3.888,1.393,86
1086.004,12,3.74,3.94,1.407,86
1086.197,12,3.672,3.971,1.43,83
1086.398,12,3.637,3.971,1.435,81
1086.604,12,3.492,3.985,1.388,94
1086.802,12,3.437,3.972,1.444,84
1086.995,12,3.345,3.955,1.433,85
1087.2,12,3.223,3.994,1.412,83
1087.398,12,3.132,3.984,1.42,81
1087.597,12,3.057,4.01,1.37,90
1087.795,12,2.946,4.01,1.482,89
1088.0,12,2.838,3.992,1.447,81
1088.197,12,2.735,3.987,1.448,84
1088.403,12,2.663,4.011,1.403,82
1088.604,12,2.524,3.998,1.399,82
1088.801,12,2.413,3.994,1.398,88
1088.997,12,2.359,3.993,1.425,82
1089.199,12,2.24,4.028,1.475,83
1089.397,12,2.133,4.024,1.43,86
1089.601,12,2.069,3.996,1.41,84
1089.799,12,1.958,4.004,1.452,87
1089.998,12,1.896,3.989,1.372,89
1090.201,12,1.731,4.033,1.425,87
1090.397,12,1.652,3.979,1.404,93
1090.598,12,1.544,4.046,1.415,85
1090.801,12,1.472,4.008,1.439,87
1090.998,12,1.346,4.035,1.447,91
1091.198,12,1.222,4.051,1.477,77
1091.396,12,1.183,4.032,1.453,80
1091.596,12,1.056,4.026,1.401,84
1091.803,12,0.937,4.041,1.429,87
1091.995,12,0.872,4.028,1.457,89
1092.199,12,0.718,4.036,1.426,80
1092.399,12,0.667,4.084,1.403,86
1092.603,12,0.531,4.044,1.34,83
1092.799,12,0.471,4.055,1.5,80
1092.999,12,0.331,4.057,1.4,83
1093.199,12,0.22,4.031,1.488,85
1093.395,12,0.18,4.058,1.478,80
1093.602,12,0.149,3.955,1.494,88
1093.797,12,0.109,3.9,1.513,73
1094.005,12,0.113,3.84,1.464,86
1094.202,12,0.103,3.784,1.505,89
1094.403,12,0.025,3.697,1.502,86
1094.598,12,0.05,3.612,1.436,82
1094.799,12,0.031,3.462,1.505,78
1095.001,12,0.014,3.43,1.516,83
1095.204,12,0.039,3.334,1.512,83
1095.397,12,-0.002,3.263,1.516,77
1095.595,12,0.01,3.129,1.483,86
1095.8,12,0.01,3.057,1.479,88
1095.999,12,0.006,2.976,1.479,82
1096.2,12,-0.015,2.849,1.512,86
1096.404,12,0.02,2.8,1.525,89
1096.596,12,-0.006,2.655,1.535,91
1096.802,12,0.006,2.578,1.571,79
1096.999,12,-0.014,2.501,1.494,90
1097.201,12,0.009,2.403,1.496,86
1097.403,12,0.049,2.322,1.487,86
1097.598,12,0.005,2.214,1.57,96
1097.796,12,-0.009,2.09,1.521,85
1097.999,12,-0.012,2.005,1.532,74
1098.199,12,0.006,1.895,1.542,89
1098.402,12,0.005,1.833,1.58,84
1098.603,12,0.025,1.722,1.55,85
1098.796,12,-0.001,1.605,1.534,80
1098.996,12,-0.033,1.509,1.565,86
1099.205,12,0.032,1.452,1.569,92
1099.405,12,-0.015,1.359,1.585,90
1099.598,12,-0.004,1.26,1.538,85
1099.796,12,0.004,1.161,1.526,84
1100.001,12,-0.006,1.045,1.529,91
1100.202,12,0.001,0.949,1.557,89
1100.4,12,-0.015,0.883,1.551,93
1100.597,12,0.024,0.758,1.601,84
1100.797,12,-0.01,0.686,1.568,87
1101.002,12,0.018,0.593,1.559,86
1101.198,12,0.032,0.479,1.624,86
1101.396,12,0.07,0.422,1.596,84
1101.597,12,0.113,0.363,1.649,88
1101.804,12,0.169,0.373,1.634,92
1102.0,12,0.221,0.307,1.56,83
1102.203,12,0.336,0.311,1.627,90
1102.403,12,0.423,0.301,1.644,82
1102.598,12,0.499,0.278,1.624,92
1102.803,12,0.574,0.299,1.581,88
1103.003,12,0.693,0.284,1.597,81
1103.202,12,0.76,0.322,1.598,76
1103.399,12,0.897,0.224,1.603,83
1103.605,12,0.958,0.292,1.627,91
1103.801,12,1.038,0.332,1.631,80
1104.003,12,1.164,0.287,1.607,86
1104.2,12,1.237,0.283,1.587,83
1104.398,12,1.343,0.308,1.586,85
1104.599,12,1.463,0.316,1.618,87
1104.798,12,1.58,0.295,1.608,84
1105.003,12,1.639,-0.018,1.601,89
1105.205,12,1.757,-0.003,1.61,88
1105.395,12,1.839,-0.026,1.553,82
1105.598,12,1.951,0.012,1.622,93
1105.798,12,2.06,-0.01,1.561,85
1105.996,12,2.113,-0.003,1.63,80
1106.202,12,2.247,0.015,1.597,93
1106.396,12,2.366,0.023,1.617,93
1106.596,12,2.451,-0.04,1.607,88
1106.801,12,2.557,0.006,1.582,97
1107.004,12,2.642,-0.027,1.555,81
1107.201,12,2.777,0.002,1.574,90
1107.404,12,2.85,0.022,1.54,79
1107.602,12,2.958,-0.006,1.592,93
1107.804,12,3.033,0.039,1.577,88
1108.003,12,3.179,0.015,1.517,90
1108.203,12,3.259,0.015,1.577,81
1108.397,12,3.353,0.029,1.53,85
1108.601,12,3.45,0.02,1.527,85
1108.802,12,3.524,0.046,1.56,85
1109.003,12,3.623,0.015,1.537,85
1109.203,12,3.729,0.013,1.538,89
1109.4,12,3.815,0.052,1.536,93
1109.598,12,3.857,0.122,1.501,92
1109.798,12,3.862,0.164,1.49,89
1110.001,12,3.875,0.25,1.548,80
1110.2,12,3.935,0.302,1.425,85
1110.401,12,3.948,0.406,1.46,78
1110.604,12,3.988,0.509,1.51,87
1110.805,12,3.996,0.572,1.516,94
1111.003,12,3.975,0.677,1.574,89
1111.202,12,3.998,0.741,1.479,88
1111.399,12,4.005,0.835,1.455,86
1111.603,12,3.971,0.956,1.515,83
1111.799,12,4.007,1.063,1.491,95
1112.001,12,4.019,1.129,1.476,92
1112.204,12,4.004,1.25,1.452,83
1112.401,12,4.021,1.354,1.502,83
1112.599,12,4.021,1.439,1.461,82
1112.797,12,3.991,1.549,1.443,90
1113.002,12,3.973,1.608,1.408,84
1113.199,12,3.993,1.766,1.416,83
1113.396,12,3.997,1.857,1.437,96
1113.599,12,3.969,1.939,1.454,84
1113.804,12,3.999,2.079,1.502,91
1114.004,12,4.035,2.148,1.496,80
1114.204,12,3.979,2.258,1.451,84
1114.395,12,3.997,2.346,1.428,84
1114.598,12,4.015,2.455,1.44,90
1114.798,12,4.022,2.517,1.426,83
1115.002,12,3.998,2.615,1.415,92
1115.197,12,3.994,2.731,1.416,83
1115.397,12,3.982,2.838,1.438,84
1115.604,12,3.981,2.922,1.437,90
1115.8,12,4.017,3.048,1.383,80
1116.003,12,3.959,3.134,1.441,85
1116.202,12,3.998,3.278,1.389,83
1116.399,12,3.979,3.311,1.337,85
1116.604,12,3.944,3.413,1.45,88
1116.804,12,4.014,3.547,1.404,87
1117.004,12,4.021,3.668,1.377,91
1117.199,12,3.973,3.711,1.391,89
1117.405,12,3.967,3.793,1.389,82
1117.6,12,3.872,3.81,1.446,87
1117.796,12,3.812,3.869,1.434,84
1117.999,12,3.789,3.899,1.434,80
1118.204,12,3.731,3.963,1.387,83
1118.4,12,3.619,3.931,1.397,88
1118.596,12,3.516,3.943,1.359,75
1118.801,12,3.408,3.989,1.423,87
1118.999,12,3.335,3.972,1.414,91
1119.203,12,3.23,3.977,1.374,87
1119.399,12,3.117,3.972,1.427,80
1119.602,12,3.052,4.008,1.317,92
1119.797,12,2.942,3.979,1.317,86
